_id,aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
142,Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,14 Hour,816
143,Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,Afternoon (12:00-17:00),219
144,Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,AM Peak Period (07:00-10:00),271
145,Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,Evening (17:00-22:00),281
146,Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,Midday (10:00-16:00),226
147,Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,PM Peak Period (16:00-19:00),253
148,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,14 Hour,4698
149,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,Afternoon (12:00-17:00),1944
150,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,AM Peak Period (07:00-10:00),941
151,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,Evening (17:00-22:00),1582
152,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,Midday (10:00-16:00),1987
153,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,Morning (08:00-12:00),1240
154,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,PM Peak Period (16:00-19:00),1449
155,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,14 Hour,5200
156,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,Afternoon (12:00-17:00),2283
157,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,AM Peak Period (07:00-10:00),919
158,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,Evening (17:00-22:00),1836
159,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,Midday (10:00-16:00),2139
160,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,Morning (08:00-12:00),1268
161,Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,PM Peak Period (16:00-19:00),1788
162,Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,14 Hour,13380
163,Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,Afternoon (12:00-17:00),4645
164,Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,AM Peak Period (07:00-10:00),3372
165,Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,Evening (17:00-22:00),4258
166,Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,Midday (10:00-16:00),5390
167,Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,Morning (08:00-12:00),4095
168,Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,PM Peak Period (16:00-19:00),3053
169,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,14 Hour,206
170,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,Afternoon (12:00-17:00),77
171,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,AM Peak Period (07:00-10:00),21
172,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,Evening (17:00-22:00),108
173,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,Midday (10:00-16:00),67
174,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,Morning (08:00-12:00),34
175,Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,PM Peak Period (16:00-19:00),102
